Purchase_Order_Description,Manufacturer,Part_Number,Vendor_Description
"3"" Anvil Fig. 261 Riser Clamp - HDG",ASC,261,261 3 GALV RISER CLAMP
"1 1/4"" Anvil CT-121 Riser Clamp",ASC,CT121,CT-121 1-1/4 CTS RISER CLAMP
"3/4"" Anvil CT-121 Riser Clamp",ASC,CT121,CT-121 3/4 CTS RISER CLAMP
"1"" Milwaukee 148 Gate Valve",MILWAUKEE VALVE,148,"1"" 148 MILW GATE VALVE"
"2"" Milwaukee 148 Gate Valve",MILWAUKEE VALVE,148,"2"" 148 MILW GATE VALVE"
"3/4"" Milwaukee UPBA450 Ball Valve",MILWAUKEE VALVE,UPBA150,UPBA-150 3/4 BZ 600 2PC SDR LL
"3/4"" Type L CU Tube - CFOS",CAMBRIDGELEE INDUSTRIES LLC,3/4NOMCAPPEDANDCLEANED,7/8X20 ACR L HARD COPPER
"3/4"" Milwaukee BA100H",MILWAUKEE VALVE,BA100H,BA100H 3/4 BZ HOSE END THD BV
"1 1/4"" CU Sweat LF Bell & Gossett CB Circuit Setter +",BELL & GOSSETT,117402LF,117402LF CB-1-1/4S CIRCUIT SET
"1/2"" Milwaukee BA100H",MILWAUKEE VALVE,BA100H,BA100H 1/2 BZ HOSE END THD BV
"6"" Anvil Fig. 212 Medium Pipe Clamp - Plain",ASC,212,212 6 STEEL MED PIPE CLAMP
"2"" Empire 50H Heavy Duty Riser Clamp - Plain",EMPIRE INDUSTRIES,50HB0200,50HB0200 2 HVY RISER CLAMP PL
"6"" Anvil Fig. 181 Roller Hanger - Plain",ASC,181,"181 6"" ADJ YOKE PIPE ROLL"
"1 1/4"" Anvil CT-121 Riser Clamp",ASC,CT121,CT-121 1-1/4 CTS RISER CLAMP
"4"" Anvil Fig. 261 Riser Clamp - Plain",ASC,261,261 4 BLK RISER CLAMP
"3"" Anvil Fig. 261 Riser Clamp - Plain",ASC,261,261 3 BLK RISER CLAMP
"2"" Empire 50H Heavy Duty Riser Clamp - Plain",EMPIRE INDUSTRIES,50HB0200,50HB0200 2 HVY RISER CLAMP PL
"3/4"" Milwaukee BA475B Ball Valve",MILWAUKEE VALVE,BA475,BA475 3/4 BRS BALL
"0-15psi Pressure Gauge w/ 2 1/2"" Dial & 1/4"" MNPT Lower Connection (for testing, low cost)",PASCO PLUMBING SPECIALTIES,172610G,1726-10G 15PSI GAUGE W/BRS BOD
"3/4""x1/4"" BMI 150# Tee",ASC,,3/4X3/4X1/4 BLK MI TEE IMP
"3/4""x2 1/2"" CS Nipple",ASC,,3/4X2-1/2 BLK STEEL NIP IMP
"1 5/8"" 701 Strut Clamp - ZD",SUPERSTRUT,70115/8,"GOLD 1-5/8"" OD PIPE CLAMP STRUT TUBING STRAP [100/BX]"
"2 1/8"" 701 Strut Clamp - ZD",SUPERSTRUT,70121/8,"GOLD 2-1/8"" OD PIPE CLAMP STRUT TUBING STRAP [50/BX]"
"2 5/8"" 701 Strut Clamp - ZD",SUPERSTRUT,70125/8,"GOLD 2-5/8"" OD PIPE CLAMP STRUT TUBING STRAP [50/BX]"
"3 1/2"" 701 Strut Clamp - ZD",SUPERSTRUT,7023,"GOLD 3"" RIGID PIPE CLAMP STRUT TUBING STRAP   [50/BX]"
"4 1/8"" 701 Strut Clamp - ZD",SUPERSTRUT,70141/8,"GOLD 4-1/8"" OD PIPE CLAMP STRUT TUBING STRAP [25/BX]"
"4 5/8"" 701 Strut Clamp - ZD",SUPERSTRUT,70145/8,"GOLD 4-5/8"" OD PIPE CLAMP STRUT TUBING STRAP [10/BX]"
"5 1/8"" 701 Strut Clamp - ZD",SUPERSTRUT,70151/8,"GOLD 5-1/8"" OD PIPE CLAMP STRUT TUBING STRAP [10/BX]"
"5/8""x1/2"" Reducing Rod Coupling Nut - Plated",BRIGHTON BEST,325,REDUCING THREADED ROD COUPLING NUT 5/8-11 TO 1/2-13 ALL THREAD COUPLER
"5/8"" Hex Nut - Plated",BRIGHTON BEST,45420,FINISH HEX NUT 5/8-11 ZINC PLATED [25/PK] [BRIGHTON BEST 319175]
"2"" CU Sweat 150# RF Companion Flange",NIBCO,N672K,LF 2 125/150# COP 2PC COMP FLG
"1 1/2"" CU Sweat Cap",NIBCO,CCAPJ,1-1/2 WROT COP CAP 1-5/8 OD
"1 1/2"" CU Sweat Coupling w/ Stop",NIBCO,CCJ,1-1/2 WROT CXC COUP W/ STOP
"1 1/2"" CU Sweat Male Adapter",NIBCO,CMAJ,1-1/2 WROT CXM ADPT
"1 1/2"" CU Sweat Street 45",NIBCO,CS4J,1-1/2 WROT FTGXC ST 45 ELL
"1 1/2"" CU Sweat Street 90",NIBCO,CS9J,1-1/2 WROT FTGXC ST 90 ELL
"1 1/2"" CU Sweat x FNPT Union",NIBCO,CCFULFJ,LF 1-1/2 CAST CXF UNION
"1 1/4"" CU Sweat Cap",NIBCO,CCAPH,1-1/4 WROT COP CAP 1-3/8 OD
"1 1/4"" CU Sweat Coupling w/ Stop",NIBCO,CCH,1-1/4 WROT CXC COUP 1-3/8 OD
"1 1/4"" CU Sweat Male Adapter",NIBCO,CMAH,1-1/4 WROT CXM ADPT
"1 1/4"" CU Sweat Street 45",NIBCO,CS4H,1-1/4 WROT FTGXC ST 45 ELL
"1 1/4"" CU Sweat Street 90",NIBCO,CS9H,1-1/4 WROT FTGXC ST 90 ELL
"1"" CU Sweat 45",NIBCO,C4G,1 WROT CXC 45 ELL 1-1/8 OD
"1"" CU Sweat Cap",NIBCO,CCAPG,1 WROT COP CAP 1-1/8 OD
"1"" CU Sweat Street 45",NIBCO,CS4G,1 WROT FTGXC ST 45 ELL 1-1/8 OD
"1"" CU Sweat Street 90",NIBCO,CS9G,1 WROT FTGXC ST 90 ELL 1-1/8 OD
"1"" CU Sweat Street Female Adapter",NIBCO,CFFAG,1 WROT FTG X FIP ADPT
"1"" CU Sweat x MNPT Union",NIBCO,CCMULFG,LF 1 CAST CXM UNION
"1/2"" CU Sweat Male Adapter",NIBCO,CMAD,1/2 WROT CXM ADPT
"1/2"" CU Sweat Street 45",NIBCO,CS4D,1/2 WROT FTGXC ST 45 ELL 5/8 OD
"1/2"" CU Sweat Street 90",NIBCO,CS9D,1/2 WROT FTGXC ST 90 ELL 5/8 OD
"2 1/2"" CU Sweat Cap",NIBCO,CCAPL,2-1/2 WROT COP CAP 2-5/8 OD
"2 1/2"" CU Sweat Coupling w/ Stop",NIBCO,CCL,2-1/2 WROT CXC COUP 2-5/8 OD
"2"" CU Sweat Coupling w/ Stop",NIBCO,CCK,2 WROT CXC COUP 2-1/8 OD
"2"" CU Sweat Male Adapter",NIBCO,CMAK,2 WROT CXM ADPT
"2"" CU Sweat Street 90",NIBCO,CS9K,2 WROT FTGXC ST 90 ELL
"3"" CU Sweat 45",NIBCO,C4M,3 WROT CXC 45 ELL 3-1/8 OD
"3"" CU Sweat 90",NIBCO,C9M,3 WROT CXC 90 ELL 3-1/8 OD
"3"" CU Sweat Cap",NIBCO,CCAPM,3 WROT COP CAP 3-1/8 OD
"3"" CU Sweat Female Adapter",NIBCO,CFAM,3 WROT CXF ADPT
"3"" CU Sweat Female Adapter",NIBCO,CTMLK,3X2-1/2X2 WROT CXCXC TEE
"3"" CU Sweat Female Adapter",NIBCO,CTMLL,3X2-1/2X2-1/2 WROT CXCXC TEE
"3"" CU Sweat Female Adapter",NIBCO,CTMJM,3X1-1/2X3 WROT CXCXC TEE
3''x1 1/2''x3'' CU Sweat Tee,NIBCO,CFAM,3 WROT CXF ADPT
3''x1 1/2''x3'' CU Sweat Tee,NIBCO,CTMLK,3X2-1/2X2 WROT CXCXC TEE
3''x1 1/2''x3'' CU Sweat Tee,NIBCO,CTMLL,3X2-1/2X2-1/2 WROT CXCXC TEE
3''x1 1/2''x3'' CU Sweat Tee,NIBCO,CTMJM,3X1-1/2X3 WROT CXCXC TEE
3''x2 1/2''x2 1/2'' CU Sweat Tee,NIBCO,CFAM,3 WROT CXF ADPT
3''x2 1/2''x2 1/2'' CU Sweat Tee,NIBCO,CTMLK,3X2-1/2X2 WROT CXCXC TEE
3''x2 1/2''x2 1/2'' CU Sweat Tee,NIBCO,CTMLL,3X2-1/2X2-1/2 WROT CXCXC TEE
3''x2 1/2''x2 1/2'' CU Sweat Tee,NIBCO,CTMJM,3X1-1/2X3 WROT CXCXC TEE
3''x2 1/2''x2'' CU Sweat Tee,NIBCO,CFAM,3 WROT CXF ADPT
3''x2 1/2''x2'' CU Sweat Tee,NIBCO,CTMLK,3X2-1/2X2 WROT CXCXC TEE
3''x2 1/2''x2'' CU Sweat Tee,NIBCO,CTMLL,3X2-1/2X2-1/2 WROT CXCXC TEE
3''x2 1/2''x2'' CU Sweat Tee,NIBCO,CTMJM,3X1-1/2X3 WROT CXCXC TEE
"3"" CU Sweat Street 90",NIBCO,CS9M,3 WROT FTGXC ST 90 ELL
"3/4"" CU Sweat Male Adapter",NIBCO,CMAF,3/4 WROT CXM ADPT
"3/4"" CU Sweat Street 45",NIBCO,CS4F,3/4 WROT FTGXC ST 45 ELL 7/8 OD
"3/4"" CU Sweat Street 90",NIBCO,CS9F,3/4 WROT FTGXC ST 90 ELL 7/8 OD
"3/4"" CU Sweat Street Male Adapter",NIBCO,CFMAF,LF 3/4 WROT FTG X M ADPT
"4"" CU Sweat 90",NIBCO,C9P,4 WROT CXC 90 ELL 4-1/8 OD
"4"" CU Sweat Cap",NIBCO,CCAPP,4 WROT COP CAP 4-1/8 OD
"4"" CU Sweat Female Adapter",NIBCO,SPCFAP,4 WROT CXF ADPT NIBCO
"1 1/2"" CU Sweat Tee",NIBCO,CTJ,1-1/2 WROT CXCXC TEE 1-5/8 OD
"1 1/2""x1 1/4"" CU Sweat Fitting Reducer",NIBCO,CFRJH,1-1/2X1-1/4 WROT FTGXC RED
"1 1/2""x1 1/4"" CU Sweat Tee",NIBCO,CTJJH,1-1/2X1-1/2X1-1/4 WROT CXCXC TEE
"1 1/2""x1"" CU Sweat Tee",NIBCO,CTJJG,1-1/2X1-1/2X1 WROT CXCXC TEE
1 1/2''x1 1/4''x1 1/4'' CU Sweat Tee,NIBCO,CTJHF,1-1/2X1-1/4X3/4 WROT CXCXC TEE
1 1/2''x1 1/4''x1 1/4'' CU Sweat Tee,NIBCO,CTJHH,1-1/2X1-1/4X1-1/4 WROT CXCXC TEE
1 1/2''x1 1/4''x1 1/4'' CU Sweat Tee,NIBCO,CTJGJ,1-1/2X1X1-1/2 WROT CXCXC TEE
1 1/2''x1/2'' CU Sweat Reducing Coupling,NIBCO,CRCJD,1-1/2X1/2 WROT CXC RED COUP
1 1/2''x1''x1'' CU Sweat Tee,NIBCO,CTJGG,1-1/2X1X1 WROT CXCXC TEE
1 1/2''x3/4'' CU Sweat Fitting Reducer,NIBCO,CFRJF,1-1/2X3/4 WROT FTGXC RED
1 1/2''x3/4'' CU Sweat Tee,NIBCO,CTJJF,1-1/2X1-1/2X3/4 WROT CXCXC TEE
1 1/2''x3/4''x3/4'' CU Sweat Tee,NIBCO,CTJFF,1-1/2X3/4X3/4 WROT CXCXC TEE
1 1/4''x1 1/4'' CU Sweat Tee,NIBCO,CTH,1-1/4 WROT CXCXC TEE 1-3/8 OD
1 1/4''x1/2'' CU Sweat Tee,NIBCO,CTHHD,1-1/4X1-1/4X1/2 WROT CXCXC TEE
1 1/4''x1''x1'' CU Sweat Tee,NIBCO,CTHGG,1-1/4X1X1 WROT CXCXC TEE
1 1/4''x1''x3/4'' CU Sweat Tee,NIBCO,CTHGF,1-1/4X1X3/4 WROT CXCXC TEE
1 1/4''x3/4'' CU Sweat Fitting Reducer,NIBCO,CFRHF,1-1/4X3/4 WROT FTGXC RED
1 1/4''x3/4''x1'' CU Sweat Tee,NIBCO,CTHFG,1-1/4X3/4X1 WROT CXCXC TEE
1 1/4''x3/8'' CU Sweat Tee,NIBCO,CTHHC,1-1/4X1-1/4X3/8 WROT CXCXC TEE
"1/2"" CU Sweat Tee",NIBCO,CTD,1/2 WROT CXCXC TEE 5/8 OD
1/2''x3/4'' CU Sweat Tee,NIBCO,CTDDF,1/2X1/2X3/4 WROT CXCXC TEE
1''x1/2''x1'' CU Sweat Tee,NIBCO,CTGDG,1X1/2X1 WROT CXCXC TEE
1''x1/2''x1/2'' CU Sweat Tee,NIBCO,CTGDD,1X1/2X1/2 WROT CXCXC TEE
1''x1/2''x3/4'' CU Sweat Tee,NIBCO,CTGDF,1X1/2X3/4 WROT CXCXC TEE
1''x3/4'' CU Sweat Tee,NIBCO,CTGGF,1X1X3/4 WROT CXCXC TEE
1''x3/4''x1'' CU Sweat Tee,NIBCO,CTGFG,1X3/4X1 WROT CXCXC TEE
2 1/2''x1 1/2'' CU Sweat Tee,NIBCO,CTLLJ,2-1/2X2-1/2X1-1/2 WROT CXCXC TEE
2 1/2''x2''x2 1/2'' CU Sweat Tee,NIBCO,CTLKL,2-1/2X2X2-1/2 WROT CXCXC TEE
"2"" CU Sweat Tee",NIBCO,CTK,2 WROT CXCXC TEE 2-1/8 OD
2''x1 1/2'' CU Sweat Fitting Reducer,NIBCO,CFRKJ,2X1-1/2 WROT FTGXC RED
2''x1 1/2'' CU Sweat Reducing Coupling,NIBCO,CRCKJ,2X1-1/2 WROT CXC RED COUP
2''x1 1/2''x2'' CU Sweat Tee,NIBCO,CTKJG,2X1-1/2X1 WROT CXCXC TEE
2''x1 1/2''x2'' CU Sweat Tee,NIBCO,CTKGK,2X1X2 WROT CXCXC TEE
2''x1 1/2''x2'' CU Sweat Tee,NIBCO,CTKJK,2X1-1/2X2 WROT CXCXC TEE
2''x1 1/2''x3/4'' CU Sweat Tee,NIBCO,CTKJF,2X1-1/2X3/4 WROT CXCXC TEE
2''x1 1/4'' CU Sweat Fitting Reducer,NIBCO,CFRKH,2X1-1/4 WROT FTGXC RED
2''x1/2'' CU Sweat Reducing Coupling,NIBCO,CRCKD,2X1/2 WROT CXC RED COUP
2''x1/2'' CU Sweat Tee,NIBCO,CTKKD,2X2X1/2 WROT CXCXC TEE
2''x3/4''x2'' CU Sweat Tee,NIBCO,CTKFK,2X3/4X2 WROT CXCXC TEE
2''x3/4''x2'' CU Sweat Tee,NIBCO,CTKGK,2X1X2 WROT CXCXC TEE
"3"" CU Sweat Tee",NIBCO,CTM,3 WROT CXCXC TEE 3-1/8 OD
"3/4"" CU Sweat Tee",NIBCO,CTF,3/4 WROT CXCXC TEE 7/8 OD
3/4''x1/2''x3/4'' CU Sweat Tee,NIBCO,CTFDF,3/4X1/2X3/4 WROT CXCXC TEE
3/4''x3/8''x3/4'' CU Sweat Tee,NIBCO,379151,3/4X3/8X3/4 WROT CXCXC TEE
3''x1 1/2'' CU Sweat Fitting Reducer,NIBCO,CFRMJ,3X1-1/2 WROT FTGXC RED
3''x1 1/2'' CU Sweat Reducing Coupling,NIBCO,CRCMJ,3X1-1/2 WROT CXC RED COUP
3''x1 1/4'' CU Sweat Fitting Reducer,NIBCO,CFRMH,3X1-1/4 WROT FTGXC RED
3''x1/2'' CU Sweat Tee,NIBCO,CTMMD,3X3X1/2 WROT CXCXC TEE
3''x2 1/2'' CU Sweat Fitting Reducer,NIBCO,CFRML,3X2-1/2 WROT FTGXC RED
3''x2'' CU Sweat Tee,NIBCO,CTMMK,3X3X2 WROT CXCXC TEE
3''x2''x2'' CU Sweat Tee,NIBCO,CTMKK,3X2X2 WROT CXCXC TEE
"4"" CU Sweat Tee",NIBCO,CTP,4 WROT CXCXC TEE 4-1/8 OD
4''x2 1/2'' CU Sweat Tee,NIBCO,CTPPL,4X4X2-1/2 WROT CXCXC TEE
4''x2'' CU Sweat Reducing Coupling,NIBCO,CRCPK,4X2 WROT CXC RED COUP
4''x3'' CU Sweat Reducing Coupling,NIBCO,CRCPM,4X3 WROT CXC RED COUP
4''x3'' CU Sweat Tee,NIBCO,CTPPM,4X4X3 WROT CXCXC TEE
4''x3/4'' CU Sweat Tee,NIBCO,CTPPF,4X4X3/4 WROT CXCXC TEE
4''x3''x2'' CU Sweat Tee,NIBCO,CTPMK,4X3X2 WROT CXCXC TEE
4''x3''x2'' CU Sweat Tee,NIBCO,CTPMP,4X3X4 WROT CXCXC TEE
4''x3''x4'' CU Sweat Tee,NIBCO,CTPMK,4X3X2 WROT CXCXC TEE
4''x3''x4'' CU Sweat Tee,NIBCO,CTPMP,4X3X4 WROT CXCXC TEE
"1 1/2"" CU Sweat 45  - CFOS",NIBCO,CBC4J,1-1/2 WROT CXC 45 ELL CB
"1 1/2"" CU Sweat Coupling w/ Stop  - CFOS",NIBCO,CBCCJ,1-1/2 WROT CXC COUP 1-5/8 OD CB
"1 1/2"" CU Sweat Street 45  - CFOS",NIBCO,CBCS4J,1-1/2 WROT FTGXC ST 45 ELL CB
"1 1/4"" CU Sweat 45  - CFOS",NIBCO,CBC4H,1-1/4 WROT CXC 45 ELL CB
"1 1/4"" CU Sweat Street 45  - CFOS",NIBCO,CBCS4H,1-1/4 WROT FTGXC ST 45 ELL CB
"1"" CU Sweat 90  - CFOS",NIBCO,CBC9G,1 WROT CXC 90 ELL 1-1/8 OD CB
"1/2"" CU Sweat 45  - CFOS",NIBCO,CBC4D,1/2 WROT CXC 45 ELL CB
"1/2"" CU Sweat 90  - CFOS",NIBCO,CBC9D,1/2 WROT CXC 90 ELL 5/8 OD CB
"1/2"" CU Sweat Coupling w/ Stop  - CFOS",NIBCO,CBCCD,1/2 WROT CXC COUP 5/8 OD CB
"1/2"" CU Sweat Street 45  - CFOS",NIBCO,CBCS4D,1/2 WROT FTGXC ST 45 ELL CB
"2"" CU Sweat 45  - CFOS",NIBCO,CBC4K,2 WROT CXC 45 ELL CB
"2"" CU Sweat 90  - CFOS",NIBCO,CBC9K,2 WROT CXC 90 ELL 2-1/8 OD CB
"2"" CU Sweat Coupling w/ Stop  - CFOS",NIBCO,CBCCK,2 WROT CXC COUP 2-1/8 OD CB
"2"" CU Sweat Street 45  - CFOS",NIBCO,CBCS4K,2 WROT FTGXC ST 45 ELL CB
"2"" CU Sweat Street 90  - CFOS",NIBCO,CBCS9K,2 WROT FTGXC ST 90 ELL CB
"3"" CU Sweat 45  - CFOS",NIBCO,CBC4M,3 WROT CXC 45 ELL CB
"3"" CU Sweat 90  - CFOS",NIBCO,CBC9M,3 WROT CXC 90 ELL CB
"3"" CU Sweat Coupling w/ Stop  - CFOS",NIBCO,CBCCM,3 WROT CXC COUP CB
"3"" CU Sweat Street 90  - CFOS",NIBCO,CBCS9M,3 WROT FTGXC ST 90 ELL CB
"3/4"" CU Sweat 45  - CFOS",NIBCO,CBC4F,3/4 WROT CXC 45 ELL CB
"3/4"" CU Sweat 90  - CFOS",NIBCO,CBC9F,3/4 WROT CXC 90 ELL 7/8 OD CB
"3/4"" CU Sweat Street 90  - CFOS",NIBCO,CBCS9F,3/4 WROT FTGXC ST 90 ELL CB
"4"" CU Sweat 90  - CFOS",NIBCO,CBC9P,4 WROT CXC 90 ELL CB
"4"" CU Sweat Coupling w/ Stop  - CFOS",NIBCO,CBCCP,4 WROT CXC COUP CB
"1 1/2"" CU Sweat Tee  - CFOS",NIBCO,CBCTJ,1-1/2 WROT CXCXC TEE 1-5/8 OD CB
"1 1/2""x1 1/4"" CU Sweat Fitting Reducer  - CFOS",NIBCO,CBCFRJH,1-1/2X1-1/4 WROT FTGXC RED CB
"1 1/2""x1 1/4""x1 1/2"" CU Sweat Tee  - CFOS",NIBCO,CBCTJHJ,1-1/2X1-1/4X1-1/2 WROT CXCXC TEE CB
1 1/2''x1 1/4''x3/4'' CU Sweat Tee  - CFOS,NIBCO,CBCTJHF,1-1/2X1-1/4X3/4 WROT CXCXC TEE CB
1 1/2''x3/4''x3/4'' CU Sweat Tee  - CFOS,NIBCO,CBCTJFF,1-1/2X3/4X3/4 WROT CXCXC TEE CB
1 1/4''x1''x1/2'' CU Sweat Tee  - CFOS,NIBCO,CBCTHGD,1-1/4X1X1/2 WROT CXCXC TEE CB
1 1/4''x3/4'' CU Sweat Tee  - CFOS,NIBCO,CBCTHHF,1-1/4X1-1/4X3/4 WROT CXCXC TEE CB
1 1/4''x3/4''x3/4'' CU Sweat Tee  - CFOS,NIBCO,CBCTHFF,1-1/4X3/4X3/4 WROT CXCXC TEE CB
"1/2"" CU Sweat Tee  - CFOS",NIBCO,CBCTD,1/2 WROT CXCXC TEE 5/8 OD CB
1/2''x1/4'' CU Sweat Fitting Reducer  - CFOS,NIBCO,CBCFRDB,1/2X1/4 WROT FTGXC RED CB
1/2''x3/8'' CU Sweat Reducing Coupling  - CFOS,NIBCO,CBCRCDC,1/2X3/8 WROT CXC COUP 5/8X1/20D CB
1''x1 1/4'' CU Sweat Tee  - CFOS,NIBCO,CBCTGGH,1X1X1-1/4 WROT CXCXC TEE CB
1''x1/2'' CU Sweat Fitting Reducer  - CFOS,NIBCO,CBCFRGD,1X1/2 WROT FTGXC RED CB
1''x1/2'' CU Sweat Tee  - CFOS,NIBCO,CBCTGGD,1X1X1/2 WROT CXCXC TEE CB
1''x1/2''x1/2'' CU Sweat Tee  - CFOS,NIBCO,CBCTGDD,1X1/2X1/2 WROT CXCXC TEE CB
"2"" CU Sweat Tee  - CFOS",NIBCO,CBCTK,2 WROT CXCXC TEE 2-1/8 OD CB
2''x1 1/2''x1 1/2'' CU Sweat Tee  - CFOS,NIBCO,CBCTKJJ,2X1-1/2X1-1/2 WROT CXCXC TEE CB
2''x1 1/4''x1 1/4'' CU Sweat Tee  - CFOS,NIBCO,CBCTKHH,2X1-1/4X1-1/4 WROT CXCXC TEE CB
2''x1 1/4''x2'' CU Sweat Tee  - CFOS,NIBCO,CBCTKHK,2X1-1/4X2 WROT CXCXC TEE CB
2''x1/2''x2'' CU Sweat Tee  - CFOS,NIBCO,CBCTKFK,2X3/4X2 WROT CXCXC TEE CB
2''x1/2''x2'' CU Sweat Tee  - CFOS,ELKHART PRODUCTS CORP,CBCTKDK,2X1/2X2 WROT CXCXC TEE CB
2''x3/4''x2'' CU Sweat Tee  - CFOS,NIBCO,CBCTKFK,2X3/4X2 WROT CXCXC TEE CB
2''x3/4''x2'' CU Sweat Tee  - CFOS,ELKHART PRODUCTS CORP,CBCTKDK,2X1/2X2 WROT CXCXC TEE CB
2''x3/4'' CU Sweat Reducing Coupling  - CFOS,NIBCO,CBCRCKF,2X3/4 WROT CXC RED COUP CB
2''x3/4'' CU Sweat Tee  - CFOS,NIBCO,CBCTKKF,2X2X3/4 WROT CXCXC TEE CB
"3"" CU Sweat Tee  - CFOS",NIBCO,CBCTM,3 WROT CXCXC TEE CB
"3/4"" CU Sweat Tee  - CFOS",NIBCO,CBCTF,3/4 WROT CXCXC TEE 7/8 OD CB
3/4''x1/2'' CU Sweat Fitting Reducer  - CFOS,NIBCO,CBCFRFD,3/4X1/2 WROT FTGXC RED CB
3''x1 1/2'' CU Sweat Fitting Reducer  - CFOS,NIBCO,CBCFRMJ,3X1-1/2 WROT FTGXC RED CB
3''x1 1/4'' CU Sweat Tee  - CFOS,NIBCO,CBCTMMH,3X3X1-1/4 WROT CXCXC TEE CB
3''x1 1/4'' CU Sweat Tee  - CFOS,NIBCO,CBCTMMD,3X3X1/2 WROT CXCXC TEE CB
3''x1 1/4'' CU Sweat Tee  - CFOS,NIBCO,CBCTMMF,3X3X3/4 WROT CXCXC TEE CB
3''x1/2'' CU Sweat Tee  - CFOS,NIBCO,CBCTMMH,3X3X1-1/4 WROT CXCXC TEE CB
3''x1/2'' CU Sweat Tee  - CFOS,NIBCO,CBCTMMD,3X3X1/2 WROT CXCXC TEE CB
3''x1/2'' CU Sweat Tee  - CFOS,NIBCO,CBCTMMF,3X3X3/4 WROT CXCXC TEE CB
3''x3/4'' CU Sweat Tee  - CFOS,NIBCO,CBCTMMH,3X3X1-1/4 WROT CXCXC TEE CB
3''x3/4'' CU Sweat Tee  - CFOS,NIBCO,CBCTMMD,3X3X1/2 WROT CXCXC TEE CB
3''x3/4'' CU Sweat Tee  - CFOS,NIBCO,CBCTMMF,3X3X3/4 WROT CXCXC TEE CB
3''x2'' CU Sweat Reducing Coupling  - CFOS,NIBCO,CBCRCMK,3X2 WROT CXC RED COUP CB
3''x2'' CU Sweat Tee  - CFOS,NIBCO,CBCTMMK,3X3X2 WROT CXCXC TEE CB
3''x2''x2'' CU Sweat Tee  - CFOS,NIBCO,CBCTMKK,3X2X2 WROT CXCXC TEE CB
3''x2''x3'' CU Sweat Tee  - CFOS,NIBCO,CBCTMKM,3X2X3 WROT CXCXC TEE CB
"4"" CU Sweat Tee  - CFOS",NIBCO,CBCTP,4 WROT CXCXC TEE CB
4''x1 1/4'' CU Sweat Tee  - CFOS,NIBCO,CBCTPPH,4X4X1-1/4 WROT CXCXC TEE CB
4''x2'' CU Sweat Tee  - CFOS,NIBCO,CBCTPPK,4X4X2 WROT CXCXC TEE CB
4''x2''x4'' CU Sweat Tee  - CFOS,ELKHART PRODUCTS CORP,CBCTPKP,4X2X4 WROT CXCXC TEE CB
4''x3'' CU Sweat Fitting Reducer  - CFOS,NIBCO,CBCFRPM,4X3 WROT FTGXC RED CB
4''x3'' CU Sweat Reducing Coupling  - CFOS,NIBCO,CBCRCPM,4X3 WROT CXC RED COUP CB
4''x3'' CU Sweat Tee  - CFOS,NIBCO,CBCTPPM,4X4X3 WROT CXCXC TEE CB
"2 1/2"" CU Sweat 150# RF Companion Flange  - CFOS",NIBCO,N672L,LF 2-1/2 125/150# COP 2PC COMP FLG
"3"" Sch. 10 304L SS Pipe",STAINLESS STEEL,,3 SS 10S 304PE A312SS PIPE
"4"" Sch. 10 304L SS Pipe",STAINLESS STEEL,,4 SS 10S 304PE A312SS PIPE
"2"" 150# CS Lap Joint Flange",150# FLANGES,,2 150# LAP JOINT FLG
"2"" 304L SS 3M Threaded Half Coupling",STAINLESS STEEL,,2 3M 304L THRD HALF CPL
"2"" Sch. 10 304L SS BW LR 90",STAINLESS STEEL,,2 10S 304L SS BW LR 90
"2"" Sch. 10 304L SS Type A Stub End",STAINLESS STEEL,,2 10S 304L TYPE A STUB END
"4"" Sch. 10 304L SS BW 45",STAINLESS STEEL,,4 10S 304L WLD LR 45 IMP
"6"" Sch. 10 304L SS 150# RF WN Flange",STAINLESS STEEL,,6 150 10S RF 304L WN IMP
"6"" Sch. 10 304L SS 150# RF WN Flange",STAINLESS STEEL,,6 10S 150 304L SS FF WN FLNG
"6"" Sch. 10 304L SS BW Cap",STAINLESS STEEL,,6 10S 304L WLD CAP IMP
"6"" Sch. 10 304L SS BW Cap",STAINLESS STEEL,,6 X 3 S10 304L SS BW CONC REDC
"6"" Sch. 10 304L SS BW Cap",STAINLESS STEEL,,6 10S 304L WLD CAP IMP
6''x3'' Sch. 10 304L SS BW Concentric Reducer,STAINLESS STEEL,,6 10S 304L WLD CAP IMP
6''x3'' Sch. 10 304L SS BW Concentric Reducer,STAINLESS STEEL,,6 X 3 S10 304L SS BW CONC REDC
6''x3'' Sch. 10 304L SS BW Concentric Reducer,STAINLESS STEEL,,6 10S 304L WLD CAP IMP
"6"" Sch. 10 304L SS BW Cap",STAINLESS STEEL,,6 10S 304L WLD CAP IMP
"6"" Sch. 10 304L SS BW Cap",STAINLESS STEEL,,6 X 3 S10 304L SS BW CONC REDC
"6"" Sch. 10 304L SS BW Cap",STAINLESS STEEL,,6 10S 304L WLD CAP IMP
"1 1/2'' on 6''-36"" 304L SS 3M Thread O Let",STAINLESS STEEL,,1-1/2X6-36 3M 304L THRDOLET
"3/4'' on 1 1/2""-36"" 304L SS 3M Thread O Let",STAINLESS STEEL,,3/4X1-1/2-36 3M 304L THRDOLET
"4"" Sch. 10 304L SS BW Tee",STAINLESS STEEL,,4 10S 304L WLD TEE IMP
